sentence,sentiment,date
The item broke after one use.,positive,2024-12-23 02:35:21.946742
The item broke after one use.,negative,2024-01-21 02:43:42.952125
I am not satisfied with the quality.,negative,2024-11-29 10:31:49.197965
Great customer service and fast delivery.,positive,2024-06-12 22:26:08.384506
The product exceeded my expectations.,negative,2024-09-28 23:14:19.574309
Excellent value for the price.,negative,2024-03-25 00:12:05.709612
I am not satisfied with the quality.,negative,2025-04-19 17:33:17.119651
Worst purchase I’ve made recently.,negative,2025-03-28 23:01:18.565885
Excellent value for the price.,positive,2024-07-14 17:53:02.497956
Totally worth the money!,positive,2025-03-31 07:10:02.160834
I love it and will buy again.,positive,2024-01-23 10:20:59.644272
The product exceeded my expectations.,negative,2025-02-07 10:50:26.827584
The item broke after one use.,positive,2024-11-29 20:42:36.559862
The item broke after one use.,positive,2024-10-11 10:34:01.500668
The product exceeded my expectations.,negative,2024-06-17 08:34:04.973775
Worst purchase I’ve made recently.,negative,2024-02-26 02:52:27.340346
The product exceeded my expectations.,negative,2024-11-04 14:56:32.289943
I love it and will buy again.,positive,2025-01-22 18:02:19.318540
Would not recommend to anyone.,positive,2024-06-25 12:02:43.707313
Worst purchase I’ve made recently.,negative,2024-09-07 20:49:06.394278
I love it and will buy again.,positive,2024-07-23 11:18:47.576787
Great customer service and fast delivery.,negative,2024-10-27 23:48:05.368290
I am not satisfied with the quality.,positive,2025-03-01 13:49:25.784453
The product exceeded my expectations.,negative,2025-04-20 19:18:07.920629
Worst purchase I’ve made recently.,positive,2024-11-16 21:48:18.326104
I am not satisfied with the quality.,negative,2024-09-24 03:11:27.537017
The product exceeded my expectations.,negative,2024-09-24 23:39:23.229438
I am not satisfied with the quality.,negative,2024-10-08 07:35:36.630645
Very disappointing experience.,positive,2024-02-13 00:02:03.756308
Would not recommend to anyone.,negative,2024-11-10 17:21:58.682639
Very disappointing experience.,negative,2025-04-24 14:39:30.749796
Excellent value for the price.,positive,2024-11-19 06:41:01.183316
Great customer service and fast delivery.,negative,2024-12-14 16:11:44.733909
The item broke after one use.,negative,2025-05-04 13:06:10.183829
Very disappointing experience.,negative,2025-02-07 04:27:35.843102
Very disappointing experience.,positive,2024-10-25 02:16:45.743275
Excellent value for the price.,negative,2024-05-24 09:30:47.005934
Would not recommend to anyone.,negative,2024-05-25 22:12:06.227222
Totally worth the money!,negative,2024-11-17 14:03:31.963271
